//scott/menus
猪排	Zhūpái	pork chops
酱爆茄子	Jiàng bào qiézǐ	Sautéed Eggplant with Soy Sauce
餐巾纸	Cānjīnzhǐ	paper napkin
圆/方打包盒	Yuán/fāng dǎbāo hé	Round/square packaging box
纯白	Chún bái	flat white
卡布	Kǎ bù	cappucino
手冲	Shǒu chōng	hand pour over
询价	Xún jià	inquire price
特调	Tè diào	special
无咖啡	Wú kāfēi	not coffee
气致冰美式	Qì zhì bīng měishì	iced americano tonic
(含酒)威士忌冰美式	(Hán jiǔ) wēishìjì bīng měishì	(including alcohol) Whiskey Iced Americano
焦糖拿铁	Jiāo táng ná tiě	caramel latte
桂花/山茶花拿铁	Guìhuā/shāncháhuā ná tiě	Osmanthus/Camellia Latte
冲绳黑糖拿铁	Chōngshéng hēitáng ná tiě	Okinawa Brown Sugar Latte
绿豆沙沙拿铁	Lǜdòu shāshā ná tiě	Mung Bean Salsa (paste) Latte
谢绝外食	Xièjué wàishí	no outside food
本店禁烟	Běndiàn jìnyān	This shop prohibits smoking
落座点单	Luòzuò diǎn dān	take a seat and order
苏打汽水	Sūdǎ qìshuǐ	soda soda
甜点	Tiándiǎn	desserts
手工蛋糕	Shǒugōng dàngāo	Handmade Cake
现做须等待35分钟	Xiàn zuò xū děngdài 35 fēnzhōng	freshly made; must wait 35 minutes
详见展柜左上角清单	Xiáng jiàn zhǎnguì zuǒshàng jiǎo qīngdān	Details see display case upper left corner list
蛋黄肉粽子	Dànhuáng ròu zòngzǐ	egg yolk meat zongzi
红赤豆	Hóng chì dòu	Red azuki beans
蜜枣	Mìzǎo	honey date
蔬菜	Shūcài	vegetables
菌菇	Jūn gū	mushrooms
豆制品类	Dòu zhìpǐn lèi	soy product kind
肉类	Ròu lèi	meat types
冰鲜丸子	Bīng xiān wánzǐ	chilled fresh meatballs
卤味	Lǔwèi	braised foods
口味	Kǒuwèi	mouth flavor (spicy level)
小小辣, 微辣, 中辣, 重辣	Xiǎo xiǎo là, wēi là, zhōng là, zhòng là	Slightly spicy, Mildly spicy, Medium spicy, Very spicy
原味	Yuánwèi	original (flavor)
汤面/粉类	Tāngmiàn/fěn lèi	Noodle soup/noodle type
粗粉/细粉	Cū fěn/xì fěn	thick noodles / thin noodles
饭类	Fàn lèi	rice types
拌面	Bàn miàn	mixed noodles
米线	Mǐxiàn	rice noodles (wires)
牛排拌面	Niúpái bàn miàn	steak mixed noodles
安格斯肥牛饭	Ān gé sī féi niú fàn	angus (fat) beef rice
牛骨头汤面	Niú gǔtou tāngmiàn	beef bone noodle soup
秘制牛排	Mì zhì niúpái	secret steak
牛筋牛肚粗粉	Niú jīn niú dǔ cū fěn	beef tendon and tripe wide noodle
牛肉丸米线	Niúròu wán mǐxiàn	beef meatball rice noodles
牛排+咸饭	Niúpái +xián fàn	Steak + salty rice
特色牛杂汤	Tèsè niú zá tāng	special beef miscellaneous soup
私房拌面	Sīfáng bàn miàn	homemade mixed noodles
闽南牛肉	Mǐnnán niúròu	southern Fujian beef
12道工序 古法制面	12 Dào gōngxù gǔ fǎzhì miàn	12 steps traditional noodle making
手打牛肉丸	Shǒudǎ niúròu wán	Hand-made beef balls
草本汤	Cǎoběn tāng	herbal (grass book) soup
B套餐	B tàocān	set B
红葱牛肉炒饭	Hóng cōng niúròu chǎofàn	red onion (scallion?) beef fried rice
拌青菜	Bàn qīngcài	mixed greens
酸菜牛肉炒饭	Suāncài niúròu chǎofàn	Sour Cabbage Beef Fried Rice
一分钱一分货	Yī fēn qián yī fēn huò	You get what you pay for
不计成本用好料	Bùjì chéngběn yòng hǎo liào	Regardless of cost, use good ingredients
虾虾全家桶	Xiā xiā quánjiā tǒng	shrimp family bucket
7颗虾立方	7 Kē xiā lìfāng	7 shrimp cubes
7颗目鱼膏	7 Kē mù yú gāo	7 fish pastes
蟹黄粉丝虾滑	Xièhuáng fěnsī xiā huá	Crab Roe Vermicelli and Shrimp Paste (balls?)
蒜蓉粉丝	Suàn róng fěnsī	minced garlic vermicelli
虾滑粉丝系列	Xiā huá fěnsī xìliè	Shrimp Vermicelli Series
纯虾	Chún xiā	pure shrimp
海苔肉松虾滑	Hǎitái ròusōng xiā huá	Seaweed pork floss shrimp rolls (balls?)
咖喱纯虾滑	Gālí chún xiā huá	Curry Shrimp Balls
蒜蓉剁椒虾	Suàn róng duò jiāo xiā	minced garlic and (chopped) pepper shrimp
每份10颗	Měi fèn 10 kē	every serving, 10 pieces
手工虾滑	Shǒugōng xiā huá	handmade shrimp sliders/balls/paste
友佳肉香	Yǒujiā ròu xiāng	Good friend fragrant meat (brand)
胖姐肉夹馍	Pàng jiě ròu jiā mó	Fat Sister Roujiamo (meat folder steamed bun)
沙茶里脊肉串	Shā chá lǐjǐ ròu chuàn	Shacha (sand tea) pork tenderloin skewers
现串现卖	Xiàn chuàn xiàn mài	Freshly skewered, freshly sold
招牌肉多多肉夹馍	Zhāopái ròu duō duōròu jiā mó	Signature lots of meat roujiamo
孜香薄饼烤肉卷	孜香薄饼烤肉卷	Cumin Pancake Grilled Meat Rolls
孜香	Zī xiāng	cumin
薄饼	Báobǐng	pancakes
美味土耳其烤肉	Měiwèi tǔ'ěrqí kǎoròu	Delicious Turkish Kebab
烤肉	Kǎoròu	barbecue
现打新鲜果汁	Xiàn dǎ xīnxiān guǒzhī	freshly made juice
西瓜原汁	Xīguā yuán zhī	watermelon (original? raw?) juice
蔬果原汁	Shūguǒ yuán zhī	Vegetable and fruit juice
蜂蜜芦荟	Fēngmì lúhuì	Honey Aloe
金桔	Jīn jié	kumquat
综合果汁	Zònghé guǒzhī	mixed (combination) juice
芭乐汁	Bā lè zhī	guava juice
特调茶饮700cc系列	Tè diào chá yǐn 700cc xìliè	Special tea drinks 700cc series
果冰沙	Guǒ bīng shā	fruit smoothie
木瓜牛奶	Mùguā niúnǎi	papaya milk
绿豆沙牛奶(夏季)	Lǜdòu shā niúnǎi (xiàjì)	Mung bean milk (summer)
红/绿茶	Hóng/lǜchá	Black/Green Tea
梅子红茶	Méizǐ hóngchá	plum black tea
冬瓜柠檬茶	Dōngguā níngméng chá	Winter Melon Lemon Tea
香蕉奶冰沙	xiāngjiāo nǎi bīng shā	banana milk smoothie
养乐多冰沙	Yǎnglèduō bīng shā	yakult smoothie
炒	chǎo	Stir-fry/ Quick cooking in a wok over high heat
煮	zhǔ	boil
蒸	zhēng	steamed
烤	kǎo	Roast/Bake/ Cooking in an oven or over fire
炖	dùn	stew
烧	shāo	Braise/Simmer: Searing then slow-cooking in liquid, creating rich flavors
煎	jiān	Pan-fry: Cooking in a small amount of oil in a pan
炸	zhà	Deep-fry
腊肉	làròu	Chinese sausage
青椒	qīngjiāo	green pepper
甜	tián	Sweet
咸	xián	salty
酱油	jiàngyóu	Soy sauce
花椒	huājiāo	Sichuan peppercorn: Creates a unique numbing sensation
五香	wǔxiāng	Five-spice: A blend of star anise, cloves, cinnamon, Sichuan peppercorn, and fennel seeds
芝麻油/香油/麻油	zhīmayóu/xiāngyóu/máyóu	Sesame oil
排骨	Páigǔ	Ribs
汤面系列	Tāngmiàn xìliè	Noodle Soup Series
银耳	Yín'ěr	Tremella / snow fungus
香菇	Xiānggū	mushroom
莲藕	Lián'ǒu	Lotus root
抄手	Chāoshǒu	wonton
红糖馒头	Hóngtáng mántou	Brown sugar steamed buns
海味抄手	Hǎiwèi chāoshǒu	Seafood wonton
鸡杂	Jīzá	chicken offal / heart / liver / intestines / gizzards
烧麦	Shāo mài	Shaomai
